overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %,P2O5 wt %,predicted_phases,salt_cation_loading,wf_volume_per_100g_salt,melting_temperature_value,cohesive_energy_value,bulk_modulus_value,has_no_salt_cations,has_no_phophates,has_unreacted_element,has_unreacted_waste_salt,has_binary_alkali_compounds,total_filter_score
P2O5,0.0,0.0,100.0,0.0,0.0,100.0,1.00*P2O5,0.0,,1995.532095000005,2.911067817111039,135.43452221508772,True,False,False,False,False,-1
Fe0.05O4.95P1.95,0.0,2.5,97.5,0.0,2.803748736168227,97.19625126383177,0.95*P2O5 + 0.05*Fe(PO3)3,0.0,,2000.795135263163,3.027200788828611,135.71314701193862,True,False,False,False,False,-1
Fe0.1O4.9P1.9,0.0,5.0,95.0,0.0,5.590082288437078,94.40991771156293,0.89*P2O5 + 0.11*Fe(PO3)3,0.0,,2006.642957777783,3.1562374240703583,136.02273011955074,True,False,False,False,False,-1
Fe0.15O4.85P1.85,0.0,7.5,92.5,0.0,8.359162413254403,91.64083758674559,0.82*P2O5 + 0.18*Fe(PO3)3,0.0,,2013.1787594117698,3.300454839928781,136.36873476923486,True,False,False,False,False,-1
Fe0.2O4.8P1.8,0.0,10.0,90.0,0.0,11.11114887000701,88.88885112999299,0.75*P2O5 + 0.25*Fe(PO3)3,0.0,,2020.5315362500053,3.462699432769506,136.75799000012952,True,False,False,False,False,-1
Fe0.25O4.75P1.75,0.0,12.5,87.5,0.0,13.846199451745708,86.1538005482543,0.67*P2O5 + 0.33*Fe(PO3)3,0.0,,2028.8646833333387,3.6465766379889955,137.19914592847678,True,False,False,False,False,-1
Fe0.3O4.7P1.7,0.0,15.0,85.0,0.0,16.56447001534487,83.43552998465512,0.43*Fe(PO3)3 + 0.57*P2O5,0.0,,2038.3882800000054,3.8567220153826978,137.70332413230224,True,False,False,False,False,-1
Fe0.35O4.65P1.65,0.0,17.5,82.5,0.0,19.26611451110857,80.73388548889143,0.54*Fe(PO3)3 + 0.46*P2O5,0.0,,2049.377045384621,4.09919745083697,138.2850682136393,True,False,False,False,False,-1
Fe0.4O4.6P1.6,0.0,20.0,80.0,0.0,21.951285011835104,78.04871498816489,0.67*Fe(PO3)3 + 0.33*P2O5,0.0,,2062.1972716666723,4.382085458866954,138.96376964186584,True,False,False,False,False,-1
Fe0.45O4.55P1.55,0.0,22.5,77.5,0.0,24.620131741351514,75.37986825864847,0.82*Fe(PO3)3 + 0.18*P2O5,0.0,,2077.348448181824,4.716407650175114,139.76587132976996,True,False,False,False,False,-1
