,overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %
0,P2O5,0.0,0.0,100.0,0.0,0.0
1,Fe0.05O4.95P1.95,0.0,2.5,97.5,0.0,2.803748736168227
2,Fe0.1O4.9P1.9,0.0,5.0,95.0,0.0,5.590082288437078
3,Fe0.15O4.85P1.85,0.0,7.5,92.5,0.0,8.359162413254403
4,Fe0.2O4.8P1.8,0.0,10.0,90.0,0.0,11.11114887000701
5,Fe0.25O4.75P1.75,0.0,12.5,87.5,0.0,13.846199451745708
6,Fe0.3O4.7P1.7,0.0,15.0,85.0,0.0,16.56447001534487
7,Fe0.35O4.65P1.65,0.0,17.5,82.5,0.0,19.26611451110857
8,Fe0.4O4.6P1.6,0.0,20.0,80.0,0.0,21.951285011835104
9,Fe0.45O4.55P1.55,0.0,22.5,77.5,0.0,24.620131741351518
10,Fe0.5O4.5P1.5,0.0,25.0,75.0,0.0,27.272803102529203
11,Fe0.55O4.45P1.45,0.0,27.500000000000004,72.5,0.0,29.909445704791757
12,Fe0.6O4.4P1.4,0.0,30.0,70.0,0.0,32.53020439112556
13,Fe0.65O4.35P1.35,0.0,32.5,67.5,0.0,35.13522226460379
14,Fe0.7O4.3P1.3,0.0,35.0,65.0,0.0,37.72464071443388
15,Fe0.75O4.25P1.25,0.0,37.5,62.5,0.0,40.298599441538414
16,Fe0.8O4.2P1.2,0.0,40.0,60.0,0.0,42.85723648367926
17,Fe0.85O4.15P1.15,0.0,42.5,57.49999999999999,0.0,45.400688240134365
18,Fe0.9O4.1P1.1,0.0,45.0,55.00000000000001,0.0,47.92908949593642
19,Fe0.95O4.05P1.05,0.0,47.5,52.5,0.0,50.44257344568264
20,Fe1O4P1,0.0,50.0,50.0,0.0,52.94127171692418
21,Fe1.05O3.95P0.95,0.0,52.5,47.5,0.0,55.42531439314421
22,Fe1.1O3.9P0.9,0.0,55.00000000000001,45.0,0.0,57.89483003633261
23,Fe1.15O3.85P0.85,0.0,57.49999999999999,42.5,0.0,60.34994570916597
24,Fe1.2O3.8P0.8,0.0,60.0,40.0,0.0,62.79078699680062
25,Fe1.25O3.75P0.75,0.0,62.5,37.5,0.0,65.2174780282866
26,Fe1.3O3.7P0.7,0.0,65.0,35.0,0.0,67.63014149761042
27,Fe1.35O3.65P0.65,0.0,67.5,32.5,0.0,70.02889868437376
28,Fe1.4O3.6P0.6,0.0,70.0,30.0,0.0,72.41386947411581
29,Fe1.45O3.55P0.55,0.0,72.5,27.500000000000004,0.0,74.78517237828609
