Glass;Tg (K);Tx (K);Tc (K);Tl (K);Umax (m s−1);T(Umax) (K);log10 (η∞);T12;m;References
Li2O(B2O3)2;764;821;830;1190;2.9E−3;1114;−2.33;760;81.2;24,52,53
Na2O(B2O3)2;730;813;825;1016;3.34E−5;972;−2.08;735;76.6;44,53,55,56
SrO(B2O3)2;900;1004;1023;1264;1.60E−4;1215;−2.76;883;76.3;[This study],53,57
BaO(B2O3)2;866;972;988;1181;4.31E−5;1083;−2.17;849;78.5;[This study],51,53,58,59
PbO(B2O3)2;710;826;866;1047;2.10E−6;979;−1.64;723;80.6;45,53,60
GeO2;819;1090;1174;1388;9.33E−8;1327;−3.34;817;21.0;24,61,62
PbOSiO2;677;859;901;1037;5.11E−7;936;−1.24;686;64.2;24,67,68
Li2O(SiO2)2;740;819;886;1303;6.87E−5;1210;−1.38;722;42.8;24,72,73
Na2O(SiO2)2;713;897;918;1148;9.92E−7;1087;−1.48;715;37.3;24,69,81,82
2MgO(Al2O3)2(SiO2)5;1072;1203;1238;1740;9.05E−6;1533;−2.20;1096;49.4;24,83,84
CaOAl2O3(SiO2)2;1127;1280;1301;1833;1.48E−4;1664;−1.69;1108;56.8;24,87,88
CaOMgO(SiO2)2;988;1148;1187;1664;2.21E−4;1614;−1.80;1000;64.4;24,87,89,93,94
