,CaO,Al2O3,SiO2,Tliq_true,Tliq_pred
0,1.0,0.0,0.0,2845.1623,2714.974999999997
1,0.95,0.05,0.0,2751.6204000000002,2094.8699999999967
2,0.9,0.1,0.0,2640.7455,2009.0980004882776
3,0.85,0.15,0.0,2517.1823,2219.089999999996
4,0.8,0.2,0.0,2380.8587,2050.5599999999963
5,0.75,0.25,0.0,2192.3364,1935.1599999999964
6,0.7,0.3,0.0,1791.6210999999998,1716.5299999999968
7,0.65,0.35,0.0,1648.4965000000002,1683.6899999999969
8,0.6,0.4,0.0,1765.6538999999998,1702.0799999999967
9,0.55,0.45,0.0,1849.1906,1828.9049999999968
10,0.5,0.5,0.0,1876.8772,1903.5899999999965
11,0.45,0.55,0.0,1926.0198,1982.2899999999966
12,0.4,0.6,0.0,2002.2803,2026.2899999999966
13,0.35,0.65,0.0,2035.8368999999998,2050.4399999999964
14,0.3,0.7,0.0,2028.9875000000002,2111.7199999999966
15,0.25,0.75,0.0,2089.8301,2147.074999999996
16,0.2,0.8,0.0,2158.7095,2188.0599999999963
17,0.15,0.85,0.0,2221.4073,2239.6449999999963
18,0.1,0.9,0.0,2268.6065,2268.9799999999964
19,0.05,0.95,0.0,2303.1472,2280.679999999996
20,0.0,1.0,0.0,2327.0108,2284.659999999996
21,0.95,0.0,0.05,2804.5096,2276.879999999996
22,0.9,0.05,0.05,2698.0122,2114.9299999999967
23,0.85,0.1,0.05,2575.3158000000003,2013.8630004882777
24,0.8,0.15,0.05,2428.9867,2026.5099999999966
25,0.75,0.2,0.05,2229.1614,1910.6799999999969
26,0.7,0.25,0.05,1745.13,1783.2399999999968
27,0.65,0.3,0.05,1648.8438999999998,1703.8799999999967
28,0.6,0.35,0.05,1741.0548,1725.5999999999967
29,0.55,0.4,0.05,1810.9589999999998,1770.9399999999969
30,0.5,0.45,0.05,1829.6457999999998,1819.2249999999967
31,0.45,0.5,0.05,1899.127,1830.5549999999969
32,0.4,0.55,0.05,1969.4769999999999,1835.3249999999969
33,0.3,0.65,0.05,2004.81,1922.983999023434
34,0.25,0.7,0.05,2070.0161,1949.0499987792934
35,0.2,0.75,0.05,2148.6124,1967.9699987792933
36,0.15,0.8,0.05,2209.8188,1985.065999755856
37,0.05,0.9,0.05,2286.7602,2002.1370007324183
38,0.0,0.95,0.05,2307.6497,2145.7630004882776
39,0.9,0.0,0.1,2761.5044000000003,2281.589999999996
40,0.85,0.05,0.1,2635.0174,2128.8099999999963
41,0.8,0.1,0.1,2488.1473,2085.3230004882776
42,0.75,0.15,0.1,2282.5042,2026.2999999999965
43,0.7,0.2,0.1,1721.6956,1796.0899999999967
44,0.65,0.25,0.1,1731.3757,1735.6799999999969
45,0.6,0.3,0.1,1734.9256,1718.8399999999967
46,0.55,0.35,0.1,1787.6205,1772.7049999999967
47,0.5,0.4,0.1,1812.6302999999998,1803.6549999999968
48,0.45,0.45,0.1,1879.8420999999998,1842.8599999999967
49,0.4,0.5,0.1,1940.5308,1898.1599999999964
50,0.35,0.55,0.1,1962.4166,1945.0149999999965
51,0.3,0.6,0.1,1988.007,1986.5099999999966
52,0.25,0.65,0.1,2057.6506,2001.1199999999965
53,0.2,0.7,0.1,2137.2994,1974.335999755856
54,0.15,0.75,0.1,2196.5574,2012.8149999999964
55,0.1,0.8,0.1,2239.4134,2034.6790002441371
56,0.05,0.85,0.1,2268.9226,2059.119000244137
57,0.0,0.9,0.1,2287.3414,2274.5399999999963
58,0.85,0.0,0.15,2707.9642,2291.7899999999963
59,0.8,0.05,0.15,2549.1332,2141.1899999999964
60,0.75,0.1,0.15,2346.4646000000002,2192.909999999996
61,0.7,0.15,0.15,1862.6230999999998,1927.2499999999966
62,0.65,0.2,0.15,1805.1091000000001,1774.7399999999968
63,0.6,0.25,0.15,1765.7608,1771.8099999999968
64,0.55,0.3,0.15,1805.5724,1812.794999999997
65,0.5,0.35,0.15,1840.1286999999998,1829.4699999999968
66,0.45,0.4,0.15,1862.9935,1830.669999999997
67,0.4,0.45,0.15,1912.1435000000001,1853.159999999997
68,0.35,0.5,0.15,1926.3312,1910.6099999999965
69,0.3,0.55,0.15,1970.0641999999998,2000.5999999999965
70,0.25,0.6,0.15,2046.3811,2115.2849999999967
71,0.2,0.65,0.15,2123.4623,2131.034999999996
72,0.15,0.7,0.15,2180.6288,2174.004999999996
