,CaO,FeO,SiO2,Tliq_true,Tliq_pred
0,1.0,0.0,0.0,2845.1623,2734.884999999997
1,0.95,0.05,0.0,2801.0156,2221.1899999999964
2,0.9,0.1,0.0,2752.7863,2208.489999999996
3,0.85,0.15,0.0,2699.6387,2198.759999999996
4,0.8,0.2,0.0,2640.4621,2192.3099999999963
5,0.75,0.25,0.0,2573.7406,2149.0399999999963
6,0.7,0.3,0.0,2497.3466000000003,2155.989999999996
7,0.65,0.35,0.0,2408.2061,2151.569999999996
8,0.6,0.4,0.0,2301.7942,2113.0099999999966
9,0.55,0.45,0.0,2171.6567,2005.6199999999965
10,0.5,0.5,0.0,2010.8226,2005.5749999999964
11,0.45,0.55,0.0,1822.6506,2014.6099999999965
12,0.4,0.6,0.0,1637.4681999999998,2033.8699999999965
13,0.35,0.65,0.0,1483.848,2032.2499999999966
14,0.3,0.7,0.0,1360.5108,2021.7399999999966
15,0.25,0.75,0.0,1256.52629,2010.9299999999964
16,0.2,0.8,0.0,1162.76397,2003.4399999999964
17,0.15,0.85,0.0,1071.81514,2023.1099999999965
18,0.1,0.9,0.0,975.19787,2036.2049999999965
19,0.05,0.95,0.0,855.08154,1933.8599999999965
20,0.95,0.0,0.05,2804.5096,2224.0599999999963
21,0.9,0.05,0.05,2751.8878,1991.8199999999965
22,0.85,0.1,0.05,2693.5123,2084.5699999999965
23,0.8,0.15,0.05,2627.9557,2085.9699999999966
24,0.75,0.2,0.05,2553.1968,2063.3049999999967
25,0.7,0.25,0.05,2466.2576,2064.9649999999965
26,0.65,0.3,0.05,2362.5567,2068.5299999999966
27,0.6,0.35,0.05,2234.8039,2032.4599999999964
28,0.55,0.4,0.05,2071.9205,1918.8499999999965
29,0.5,0.45,0.05,1865.1109000000001,1833.2299999999968
30,0.45,0.5,0.05,1641.7004000000002,1683.699999999997
31,0.4,0.55,0.05,1556.0996999999998,1654.8699999999972
32,0.3,0.65,0.05,1614.8552,1576.3399999999972
33,0.25,0.7,0.05,1625.2696,1575.2049999999972
34,0.2,0.75,0.05,1613.8366,1613.4939990234345
35,0.15,0.8,0.05,1570.3233,1629.0510009765596
36,0.05,0.9,0.05,1468.9712,1667.020999755856
37,0.0,0.95,0.05,1389.8777,1741.7899999999968
38,0.9,0.0,0.1,2761.5044000000003,2269.3699999999963
39,0.85,0.05,0.1,2697.0073,2016.1499999999965
40,0.8,0.1,0.1,2623.8588,2094.1649999999963
41,0.75,0.15,0.1,2539.2934,2090.8849999999966
42,0.7,0.2,0.1,2438.9858,2076.2049999999963
43,0.65,0.25,0.1,2315.7129,2067.6349999999966
44,0.6,0.3,0.1,2156.6805,1975.9949999999965
45,0.55,0.35,0.1,1941.3447999999999,1915.0299999999966
46,0.5,0.4,0.1,1684.1765999999998,1741.3299999999967
47,0.45,0.45,0.1,1715.0387999999998,1660.1599999999971
48,0.4,0.5,0.1,1735.1035000000002,1646.5799999999972
49,0.35,0.55,0.1,1732.6657,1602.0799999999972
50,0.3,0.6,0.1,1705.5742,1576.1399999999971
51,0.25,0.65,0.1,1654.1098000000002,1578.0799999999972
52,0.2,0.7,0.1,1568.7273999999998,1603.7239990234345
53,0.15,0.75,0.1,1547.4209999999998,1619.9119995117157
54,0.1,0.8,0.1,1556.0317,1612.3299999999972
55,0.05,0.85,0.1,1502.0661,1628.3999999999971
56,0.0,0.9,0.1,1398.5818,1624.979999999997
57,0.85,0.0,0.15,2707.9642,2256.7899999999963
58,0.8,0.05,0.15,2625.6884,2016.3699999999965
59,0.75,0.1,0.15,2528.9396,2106.1899999999964
60,0.7,0.15,0.15,2411.1241,2099.7149999999965
61,0.65,0.2,0.15,2259.898,2057.1999999999966
62,0.6,0.25,0.15,2049.5835,1943.4699999999966
63,0.55,0.3,0.15,1806.2516999999998,1874.3199999999965
64,0.5,0.35,0.15,1824.1145999999999,1736.2699999999968
65,0.45,0.4,0.15,1814.8932,1673.1499999999971
66,0.4,0.45,0.15,1781.3643000000002,1631.459999999997
67,0.35,0.5,0.15,1721.9926999999998,1597.809999999997
68,0.3,0.55,0.15,1640.9207999999999,1576.1699999999971
69,0.25,0.6,0.15,1540.846,1581.709999999997
70,0.2,0.65,0.15,1537.1543000000001,1586.6839990234346
