Unnamed: 0,overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %,Tg,Tc,Tx,Tliq,T_Umax,log_Umax,ViscosityAtTl,K_W_Tc,K_W_Tx,gamma_Tc,H_prime_Tx,K_H_Tc,H_prime_Tc,K_H_Tx,deltaT_rg,K_cr,Jezica,GFA
0,P2O5,0.0,0.0,100.0,0.0,0.0,609.1373027801513,1084.7679829239846,877.2069453239442,803.2646828529839,931.3547744393348,-7.614178808229726,5.067880598227634,0.5921219870572658,0.33372516963111126,0.7680306272280674,0.44008081810176713,-1.6896096067927795,0.7808267166909937,-3.6253914011499617,1.3808955874396422,-0.3808955874396422,-0.7418367472782998,
1,Fe0.05O4.95P1.95,0.0,2.5,97.5,0.0,2.803748736168227,656.4886859893799,932.6583496570587,965.0812233924867,1254.4042439679115,1229.1844817638398,-6.066410207086922,1.2809123767003263,0.2201600201814555,0.2460072491679172,0.48807462471374763,0.4700652790962173,0.8583471259492101,0.4206769584329843,1.066602086447727,0.5161139115469996,0.48388608845300035,-4.915962652642275,1.9160942834253287
2,Fe0.1O4.9P1.9,0.0,5.0,95.0,0.0,5.590082288437078,642.4494804382324,935.7905996084213,966.0913198232652,1249.8538350549618,1225.1772713899613,-6.063540047476505,1.2703166925322533,0.2347003393059072,0.25894375030725153,0.4945246314090639,0.5037623178779252,0.9340192867627803,0.45659795532886555,1.1405376750370781,0.5328276574329961,0.4671723425670039,-4.923401761738728,1.9226804292380166
3,Fe0.15O4.85P1.85,0.0,7.5,92.5,0.0,8.359162413254403,644.6118988037109,939.7445082604885,967.1177263498307,1245.817302651819,1221.8258717298509,-6.086274330748063,1.2789738345415251,0.23689878831235114,0.2588708848878893,0.4971064282846114,0.5003100751702463,0.9642562647349656,0.4578454260687602,1.157180903628876,0.5364320172138696,0.4635679827861304,-4.911934882098733,1.9576432430158193
4,Fe0.2O4.8P1.8,0.0,10.0,90.0,0.0,11.11114887000701,652.6975730895996,944.2462301790714,968.1468888759614,1242.6805113263456,1221.4369931459428,-6.084940743278889,1.2936994355657128,0.23461272179950282,0.2538458702065541,0.4981835750570251,0.4833008866467139,0.9769275029955276,0.4466826124531173,1.1490370941481756,0.5346753191357198,0.46532468086428025,-4.895019539331718,2.0091393642113324
5,Fe0.25O4.75P1.75,0.0,12.5,87.5,0.0,13.846199451745708,665.3279708862304,949.4947847366333,968.8372441768647,1239.983948081742,1218.3560475349427,-6.089512918451437,1.2993022241038563,0.22916975198752335,0.24476871153063215,0.4983408623460115,0.4561799391754922,0.978235506543854,0.4271078720347302,1.1193544635420325,0.5281582117562718,0.47184178824372824,-4.887529902180863,2.00592361824515
6,Fe0.3O4.7P1.7,0.0,15.0,85.0,0.0,16.56447001534487,686.6511119842529,954.2999724388122,969.1775875329972,1236.7499009302455,1214.0007541418076,-6.108431089888127,1.308049323639092,0.21641308420824779,0.2284426910697438,0.49615237073873475,0.4114556440931294,0.9475975507732413,0.3897887235354792,1.0558883016020215,0.5135922514755474,0.4864077485244526,-4.876514444855097,2.002891040548892
7,Fe0.35O4.65P1.65,0.0,17.5,82.5,0.0,19.26611451110857,713.23762550354,957.5342208385467,969.7508806228639,1234.228231923208,1212.4391498208047,-6.124242504526742,1.3204749811657437,0.19793470041949784,0.20783291816264637,0.4916821607870285,0.35964627488381246,0.882912479302843,0.3425178181851179,0.9698874170439786,0.49235677564730873,0.5076432243526913,-4.86231597145353,2.037428632851163
8,Fe0.4O4.6P1.6,0.0,20.0,80.0,0.0,21.951285011835104,730.159162902832,961.6240322232246,970.0978654861451,1232.4809520402991,1211.3280576705934,-6.14190260752279,1.271891607766423,0.18780401347153985,0.194679440835259,0.48996452528490597,0.3286115066055038,0.854565094651133,0.31700604618885736,0.914459486449373,0.4776593565557051,0.522340643444295,-4.909668824216957,2.067957870491184
9,Fe0.45O4.55P1.55,0.0,22.5,77.5,0.0,24.62013174135152,743.4443115234375,966.1993562221527,969.8149463176728,1231.9815392174391,1211.231204891205,-6.156376069430467,1.2566923223813962,0.18081037548680343,0.18374515168305777,0.4891094018334239,0.30448902666343003,0.8381112766413905,0.29962573019390537,0.8634610241160025,0.4633641449654764,0.5366358550345236,-4.924516077892192,2.0907760346922046
10,Fe0.5O4.5P1.5,0.0,25.0,75.0,0.0,27.272803102529203,758.6914810180664,970.0034903526306,968.9981764793397,1231.4598489916953,1210.4403872728349,-6.1783831000919935,1.2725844876050907,0.1715947211008008,0.17077836166032528,0.48740187528748014,0.2771965953526574,0.8082113987760239,0.27852165817258245,0.8012853589179691,0.44484087707197084,0.5551591229280292,-4.908256025385651,2.107186573628437
11,Fe0.55O4.45P1.45,0.0,27.500000000000004,72.5,0.0,29.90944570479176,774.1357006072998,973.9004838705063,965.8330691099168,1231.6927642263247,1209.975347185135,-6.193881961988243,1.2829360224112019,0.16218718585124328,0.15563732618258072,0.48553527928485524,0.2476276037292077,0.774905994033183,0.2580487931334177,0.7210471238172503,0.4189583851823774,0.5810416148176226,-4.898068757788821,2.108498854423452
12,Fe0.6O4.4P1.4,0.0,30.0,70.0,0.0,32.53020439112556,775.5790237426758,976.8634163975715,960.7909904956819,1234.4674646302972,1212.4742956399919,-6.194605722388862,1.3143099917187884,0.1630536230577589,0.15003389887515103,0.48599045944867236,0.23880476532131734,0.7813712324623512,0.2595278965688977,0.6767551626008762,0.4036100068128829,0.596389993187117,-4.868649304767328,2.1037429747872127
13,Fe0.65O4.35P1.35,0.0,32.5,67.5,0.0,35.13522226460379,770.4057334899902,976.0693788766861,952.8226276874543,1237.9498881990216,1215.4012306571008,-6.1985257274537355,1.3471665891942797,0.16613244796677254,0.14735402130278916,0.4860042555888678,0.23678029156286676,0.7853339140010409,0.26695497767783427,0.6397736009884738,0.39015971509896924,0.6098402849010307,-4.8382395406923,2.096830100302491
14,Fe0.7O4.3P1.3,0.0,35.0,65.0,0.0,37.72464071443388,764.9733547210693,973.7854296207428,942.743756556511,1241.8421162312447,1218.3300733804704,-6.213801960999976,1.3824603170974494,0.16814703912070442,0.14315056601151616,0.48523914815079766,0.23238770440607276,0.7789847645288793,0.27296646819262377,0.5943543188560616,0.3727868465790633,0.6272131534209366,-4.805672452026302,2.093936660084529
15,Fe0.75O4.25P1.25,0.0,37.5,62.5,0.0,40.298599441538414,759.4875663757324,970.9047486424446,931.2455004692079,1249.1158545221138,1222.766811156273,-6.240791064913774,1.4078379694619152,0.16925346155949328,0.13750360582780893,0.48337304344948784,0.22614976425894992,0.7599164008864318,0.27836819406483904,0.5403395815417511,0.3507925057674077,0.6492074942325923,-4.785367471972101,2.0714512763228234
16,Fe0.8O4.2P1.2,0.0,40.0,60.0,0.0,42.85723648367926,756.661396408081,967.4660953521728,918.748126769066,1256.0308268769868,1223.837327861786,-6.295522716921991,1.4489113682221342,0.16783401683558966,0.12904677727058636,0.4806825823439104,0.214213029937064,0.7305282867735501,0.27859845889428864,0.4805663922552855,0.3245828047759875,0.6754171952240124,-4.749089228698496,2.0391795991546022
17,Fe0.85O4.15P1.15,0.0,42.5,57.49999999999999,0.0,45.400688240134365,757.6102718353271,962.1967739105224,905.8791901111604,1255.2152079325956,1223.1420423030854,-6.3558484518819185,1.5263678398117504,0.1629891836732602,0.11812230869958931,0.47803288639880637,0.19570605598660723,0.6982035200549319,0.270041879949146,0.4244306647808117,0.29796512759441485,0.7020348724055852,-4.6710685450572855,2.101131688516343
18,Fe0.9O4.1P1.1,0.0,45.0,55.00000000000001,0.0,47.92908949593642,760.9238227844238,955.3253424406051,892.5293992996217,1255.3359049064293,1222.3547466039659,-6.410336958809832,1.596178555974157,0.15486016045296794,0.10483694125279364,0.4738106551057802,0.1729549957229856,0.6479822512193273,0.2554809217890093,0.3627431550464691,0.26618600409267856,0.7338139959073214,-4.6013413452662295,2.143496118409127
19,Fe0.95O4.05P1.05,0.0,47.5,52.5,0.0,50.44257344568264,764.8872894287109,947.506345385313,876.7447958230973,1255.5691526396092,1222.1674245238305,-6.470325695561509,1.667552681497665,0.14544723050313735,0.08908908454721592,0.4689565811254811,0.1462405088178835,0.5927981296549563,0.23875289664311067,0.2952753812727145,0.22796340109744245,0.7720365989025575,-4.53012859295502,2.19798182259055
20,Fe1O4P1,0.0,50.0,50.0,0.0,52.94127171692418,768.5741123199463,939.9977500081062,859.4314710140229,1255.6634159786777,1221.3589239358903,-6.527479631323065,1.7458994948894617,0.13652037282184454,0.07235805195714924,0.4643712691159206,0.1182154814189917,0.5430544280483809,0.2230411289429415,0.22930346694328604,0.18653121308887105,0.8134687869111289,-4.451846987459193,2.2435537019985343
21,Fe1.05O3.95P0.95,0.0,52.5,47.5,0.0,55.42531439314421,772.6518367767334,934.7434427380562,843.1853053808213,1255.6752196772206,1219.9586675405503,-6.586672580855002,1.8318443889137608,0.12908720616704492,0.0561717452879408,0.4608445367643185,0.09128751818973466,0.5050656170829999,0.20978608766080112,0.17099440776485342,0.14602495676408958,0.8539750432359104,-4.365910258452658,2.285228116472014
22,Fe1.1O3.9P0.9,0.0,55.00000000000001,45.0,0.0,57.89483003633261,778.008564376831,930.7841485679149,834.1279613018037,1256.193252418909,1216.5978760957719,-6.644873742913957,1.9093167062765333,0.1216178990747652,0.0446741747871276,0.4575672585103082,0.07213210688743914,0.4694877383056879,0.19636748383798838,0.13296378097435613,0.11735925120219327,0.8826407487978067,-4.288796206288641,2.2986543316157593
23,Fe1.15O3.85P0.85,0.0,57.49999999999999,42.5,0.0,60.34994570916597,783.2847312927246,925.6355524897576,825.6681269645692,1257.0582473980503,1213.5240476965905,-6.701963509327569,1.9903525432026246,0.11324122926815923,0.03371633395634037,0.4536666443617775,0.05410981981213332,0.42951440376291267,0.18173572841398147,0.09824841521464553,0.08945919143024078,0.9105408085697593,-4.208358260279834,2.3145580078402976
24,Fe1.2O3.8P0.8,0.0,60.0,40.0,0.0,62.79078699680062,788.4319118499756,918.9109987854958,816.9097410678864,1258.1696238031166,1213.3590311050416,-6.750698164723177,2.083817101091887,0.10370548173076716,0.022634332191099858,0.44899360367784624,0.036119579623674215,0.384600647746961,0.16549188962857214,0.06453754427297094,0.06062495834005277,0.9393750416599472,-4.11566129037252,2.3507425401247257
25,Fe1.25O3.75P0.75,0.0,62.5,37.5,0.0,65.2174780282866,794.0799373626709,913.9447759330274,807.5661344766618,1259.8269628281137,1210.6549308538438,-6.792532650847021,2.166553872735937,0.09514389047625933,0.010704801144846513,0.444978677391917,0.016983425067735345,0.3465481690351233,0.1509480757925408,0.029819511813901276,0.028956056349503274,0.9710439436504967,-4.0340679250396025,2.3522395591490053
26,Fe1.3O3.7P0.7,0.0,65.0,35.0,0.0,67.63014149761042,799.9314102172851,910.3410891532899,797.6181507349015,1263.5580953126166,1206.8269714951516,-6.8074649017661875,2.207600651705686,0.0873799782895525,-0.001830750395225232,0.4411658439326617,-0.0028918222898076528,0.312583134477398,0.13802393245942698,-0.0049647159667328775,-0.0049894873542664165,1.0049894873542664,-3.9955897773216815,2.3050685785953053
27,Fe1.35O3.65P0.65,0.0,67.5,32.5,0.0,70.02889868437376,806.0632461547851,908.5289847195149,787.4275034904481,1268.3016858834103,1201.9354292094708,-6.813831199524107,2.235244089252288,0.08078972038372663,-0.014693462030176747,0.4379793404176127,-0.02311945464978873,0.28480687454396736,0.12711873299462373,-0.03875388479290043,-0.040316297959291036,1.040316297959291,-3.9712010502216835,2.2433089408144817
28,Fe1.4O3.6P0.6,0.0,70.0,30.0,0.0,72.41386947411581,812.4985050201416,907.3616328775884,777.256419324875,1273.7019610914533,1195.8351348876954,-6.819001852084622,2.2489183798306422,0.07447827730135331,-0.027669020518008125,0.43493501588981615,-0.04337495451070765,0.25894808884395293,0.11675483372747271,-0.07098882501766314,-0.07641331657717987,1.0764133165771799,-3.9612172551383376,2.179074442213678
29,Fe1.45O3.55P0.55,0.0,72.5,27.500000000000004,0.0,74.78517237828609,817.9276851654053,906.7797521293164,766.9333033800126,1278.8169525431622,1199.271464163065,-6.787472002882982,2.255599155176222,0.06947989451282495,-0.039876216595331304,0.4324702855185517,-0.062345831679582187,0.23882575953446092,0.10863071219547127,-0.09962104057975002,-0.11064345688830353,1.1106434568883035,-3.958017614485309,2.1382815139447984
30,Fe1.5O3.5P0.5,0.0,75.0,25.0,0.0,77.142924553875,822.5142139434814,908.20728161335,756.9297930240631,1285.2712481563092,1203.720895522833,-6.744295198766434,2.251071443485736,0.06667313829107531,-0.05102768852372417,0.43088222114815594,-0.07973651981645259,0.2272640063051623,0.10418430006093114,-0.12413264240831202,-0.14172538950376115,1.1417253895037611,-3.966918141259019,2.0842944190977413
31,Fe1.55O3.45P0.45,0.0,77.5,22.5,0.0,79.48724182270858,826.769722366333,912.987092101574,746.8598675966263,1292.9532946671995,1210.244847381115,-6.678496298605685,2.2270169245531357,0.06668250902089469,-0.061804130976189024,0.4307105620711063,-0.0966530977222936,0.22690799642989326,0.10428220507213862,-0.1463300065675021,-0.17141285003954265,1.1714128500395427,-3.9961487497480035,2.012371494515218
