Unnamed: 0,overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %,K_W_Tc,gamma_Tc,H_prime_Tc
0,P2O5,0.0,0.0,100.0,0.0,0.0,0.13420034791053642,0.46255370127751383,0.25377828502174327
1,Fe0.05O4.95P1.95,0.0,2.5,97.5,0.0,2.803748736168227,0.1874122902162628,0.49695754983220986,0.2946193597037526
2,Fe0.1O4.9P1.9,0.0,5.0,95.0,0.0,5.590082288437078,0.1696292717698665,0.4961918740670815,0.28557168554816736
3,Fe0.15O4.85P1.85,0.0,7.5,92.5,0.0,8.359162413254403,0.17731207042658276,0.5094616382622826,0.22768961362604506
4,Fe0.2O4.8P1.8,0.0,10.0,90.0,0.0,11.11114887000701,0.17737582734458976,0.5176605016804952,0.19238680225617724
5,Fe0.25O4.75P1.75,0.0,12.5,87.5,0.0,13.846199451745708,0.17678326239732894,0.5180309458241181,0.28815404234706166
6,Fe0.3O4.7P1.7,0.0,15.0,85.0,0.0,16.56447001534487,0.17804514015420345,0.5190325458686826,0.275474799196942
7,Fe0.35O4.65P1.65,0.0,17.5,82.5,0.0,19.26611451110857,0.18053660568692578,0.5124015283956189,0.2543621820542671
8,Fe0.4O4.6P1.6,0.0,20.0,80.0,0.0,21.951285011835104,0.16530590616928656,0.4993957426098386,0.26103192861158037
9,Fe0.45O4.55P1.55,0.0,22.5,77.5,0.0,24.62013174135152,0.1718879216673837,0.4979149054934994,0.2535869433772904
10,Fe0.5O4.5P1.5,0.0,25.0,75.0,0.0,27.272803102529203,0.14628132026704682,0.4827604283319319,0.2400891227104918
11,Fe0.55O4.45P1.45,0.0,27.500000000000004,72.5,0.0,29.90944570479176,0.14049666987842827,0.4792852289262974,0.2506402681124707
12,Fe0.6O4.4P1.4,0.0,30.0,70.0,0.0,32.53020439112556,0.14030595836150103,0.4761521705775597,0.28746028416097247
13,Fe0.65O4.35P1.35,0.0,32.5,67.5,0.0,35.13522226460379,0.13653870564540552,0.4710126200808455,0.319226903739331
14,Fe0.7O4.3P1.3,0.0,35.0,65.0,0.0,37.72464071443388,0.13181584013399875,0.46745286961882243,0.2952386154177209
15,Fe0.75O4.25P1.25,0.0,37.5,62.5,0.0,40.298599441538414,0.12767461045488893,0.45875260051280137,0.25970100713870514
16,Fe0.8O4.2P1.2,0.0,40.0,60.0,0.0,42.85723648367926,0.12812248738531118,0.4600983334302046,0.2598191424131243
17,Fe0.85O4.15P1.15,0.0,42.5,57.49999999999999,0.0,45.400688240134365,0.12609941082604645,0.46153771732939947,0.21468487203759565
