Unnamed: 0,overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %,Tg,Tc,Tx,Tliq,T_Umax,log_Umax,ViscosityAtTl,K_W_Tc,K_W_Tx,gamma_Tc,H_prime_Tx,K_H_Tc,H_prime_Tc,K_H_Tx,deltaT_rg,K_cr,Jezica,GFA
0,P2O5,0.0,0.0,100.0,0.0,0.0,644.795000000001,674.2350000000007,874.6899999999993,1056.2149999999986,1314.8799999999976,-6.316501815531252,2.3862653082747727,0.027873112955221952,0.21765928338453686,0.3963733311385594,0.3565396754007055,0.0770720980156026,0.04565792228537701,1.2664646742872836,0.5587842107821682,0.44121578921783183,-3.6612393535177192,
1,Fe0.05O4.95P1.95,0.0,2.5,97.5,0.0,2.803748736168227,700.1250000000006,962.8699999999986,831.1999999999996,1383.4099999999974,1156.529999999998,-5.660705412126582,0.8047259259670141,0.18992561858017404,0.09474776096746393,0.46213286553861566,0.18721656846991455,0.6247800447044249,0.37528298518121456,0.23736440846779225,0.1918306416795329,0.8081693583204671,-5.477175895349395,0.5563342622765436
2,Fe0.1O4.9P1.9,0.0,5.0,95.0,0.0,5.590082288437078,733.5800000000003,840.5599999999994,832.4699999999996,1325.0199999999977,1138.829999999998,-5.550687069795466,0.9651162145903094,0.08073840394861911,0.07463283573078103,0.4083163314874187,0.13480465661550106,0.22082318457664096,0.1458327653425653,0.2007714952796664,0.16720208305153478,0.8327979169484652,-5.279328652633207,0.5321557815154483
3,Fe0.15O4.85P1.85,0.0,7.5,92.5,0.0,8.359162413254403,674.7550000000009,836.9799999999994,841.2649999999995,1300.8999999999976,1150.549999999998,-5.606537256073641,1.0423404518443398,0.1247021292951025,0.12799600276731413,0.42364684117419293,0.24677105023304519,0.34968313502327814,0.24042059710561364,0.3622657108357704,0.26592881840468185,0.7340711815953181,-5.186147375533473,0.6808588872900385
4,Fe0.2O4.8P1.8,0.0,10.0,90.0,0.0,11.11114887000701,717.1350000000004,883.7199999999992,845.1999999999994,1290.5299999999977,1143.9799999999982,-5.649687596415988,1.0802697827222236,0.1290826249680357,0.0992344230664914,0.4401730368363248,0.17857864976608148,0.4094909171357622,0.23229238567354638,0.28757326027889296,0.22334516345625535,0.7766548365437447,-5.141266426719875,0.735126837294468
5,Fe0.25O4.75P1.75,0.0,12.5,87.5,0.0,13.846199451745708,705.5550000000006,929.604999999999,863.4149999999993,1324.4349999999977,1141.2299999999982,-5.809346682360041,0.9357479878245631,0.16916647476093485,0.11919044724731596,0.45793575337809533,0.2237387588494143,0.5674594129118838,0.31755143114285656,0.34241464578543057,0.2550736814891407,0.7449263185108593,-5.308313310285996,0.7978344238275548
6,Fe0.3O4.7P1.7,0.0,15.0,85.0,0.0,16.56447001534487,720.2100000000005,940.2999999999989,863.8049999999993,1356.9949999999976,1133.2999999999981,-5.9406617354041495,0.8069367527948579,0.16218924903923657,0.10581837073828498,0.4526755905170649,0.19937934769025517,0.5281800837543026,0.3055914247233422,0.29115553843346226,0.22549997251819598,0.774500027481804,-5.4582197421172305,0.8424305221427407
7,Fe0.35O4.65P1.65,0.0,17.5,82.5,0.0,19.26611451110857,752.8650000000001,939.4199999999989,883.5199999999993,1360.4099999999976,1127.869999999998,-5.94345905798538,0.7891672356198498,0.13713145301783958,0.09604089943472881,0.4445327749582993,0.17354372961951897,0.4431340411886254,0.24779342910083318,0.27397303361362085,0.21505402891966804,0.7849459710803319,-5.478172395683725,0.8283864535086813
8,Fe0.4O4.6P1.6,0.0,20.0,80.0,0.0,21.951285011835104,793.3999999999999,935.464999999999,873.9299999999993,1367.5599999999974,1119.0699999999983,-5.995718448885997,0.7282670606723053,0.10388209658077116,0.058885898973353674,0.43289325114763816,0.10149987396017068,0.32878186509910934,0.17905848248046277,0.1631383829994119,0.14025707119966516,0.8597429288003349,-5.543625718438859,0.8518345964603435
9,Fe0.45O4.55P1.55,0.0,22.5,77.5,0.0,24.62013174135152,798.7999999999998,939.889999999999,870.6699999999993,1356.1799999999976,1111.6899999999982,-6.011208279234257,0.7497940017022389,0.10403486262885411,0.05299444026604106,0.4361478992844482,0.08997245868803136,0.3389223858367955,0.17662744116174156,0.14802990669605093,0.1289425526570737,0.8710574473429263,-5.514840669127884,0.8743722423463016
10,Fe0.5O4.5P1.5,0.0,25.0,75.0,0.0,27.272803102529203,779.24,952.089999999999,888.8599999999991,1340.6099999999976,1107.8599999999983,-5.98759976136202,0.8080911731083337,0.12893384354883172,0.08176874706290367,0.4491308347288724,0.1406755300035921,0.444893441779058,0.22181869513885197,0.2426563364692849,0.19527228031423047,0.8047277196857695,-5.446513736089015,0.872135135361574
11,Fe0.55O4.45P1.45,0.0,27.500000000000004,72.5,0.0,29.90944570479176,779.51,966.3799999999989,978.3449999999989,1322.8299999999977,1099.4299999999982,-5.972160367016696,0.878828685306662,0.14126531753891217,0.15031031954219307,0.45966875005945756,0.2550769072879102,0.524253050918781,0.2397275211350706,0.5771949431760443,0.3659629684164024,0.6340370315835976,-5.364179385826073,0.8745022618900398
12,Fe0.6O4.4P1.4,0.0,30.0,70.0,0.0,32.53020439112556,793.5299999999999,997.2249999999987,998.0049999999987,1309.9949999999976,1104.7599999999982,-5.905425104305452,0.9658058917481862,0.15549295989679288,0.15608838201672467,0.4740732817532475,0.25767771854876176,0.6512613102279614,0.2566947689438318,0.6553895958203777,0.3959125981431458,0.6040874018568543,-5.268733384331962,0.8445987422657253
13,Fe0.65O4.35P1.35,0.0,32.5,67.5,0.0,35.13522226460379,820.4099999999995,1029.2249999999985,1000.9699999999987,1311.7349999999976,1101.2599999999982,-5.880644851572259,1.001794543803992,0.159189927843657,0.13764975395182677,0.4827181078209971,0.22008507941151284,0.7391419772751396,0.2545251764361711,0.5810178108860385,0.36749605658169204,0.632503943418308,-5.2338976694732935,0.8088693970337205
14,Fe0.7O4.3P1.3,0.0,35.0,65.0,0.0,37.72464071443388,769.995,1019.3899999999985,970.1199999999989,1297.8899999999976,1096.9899999999982,-5.8570476098224775,1.1094828953860312,0.19215418872169365,0.15419257410104034,0.4929626163930778,0.25990428509275887,0.89549371633752,0.3238917135825538,0.6105653354486367,0.37910001041873814,0.6208999895812618,-5.116992877189236,0.8054927367271627
15,Fe0.75O4.25P1.25,0.0,37.5,62.5,0.0,40.298599441538414,762.045,995.1749999999987,925.934999999999,1297.6999999999978,1096.9899999999982,-5.848108975758165,1.1681652971111693,0.17964860907759816,0.12629267164984154,0.4831544681501836,0.21506603940712044,0.770613998843069,0.30592681534554883,0.4408430056621781,0.3059618597791484,0.6940381402208515,-5.058183312157552,0.7969650284750448
16,Fe0.8O4.2P1.2,0.0,40.0,60.0,0.0,42.85723648367926,765.64,966.4099999999988,882.6949999999993,1294.3449999999978,1097.7799999999982,-5.841812974556986,1.255591624718585,0.15511320397575545,0.09043570300035884,0.469134483988961,0.15288516796405527,0.6122249836095552,0.26222506661093836,0.2843556419288223,0.22139945716420265,0.7786005428357974,-4.968508476055153,0.7997318475014715
17,Fe0.85O4.15P1.15,0.0,42.5,57.49999999999999,0.0,45.400688240134365,658.250000000001,934.444999999999,870.0549999999993,1307.0899999999976,1087.9799999999982,-5.8297465838542895,1.2615911190937505,0.21130526589599682,0.16204316458698226,0.4754622609828323,0.32176984428408345,0.7411745763394089,0.41958982149638824,0.4846408182410998,0.32643640959250253,0.6735635904074975,-4.971019865030895,0.740509448651615
18,Fe0.9O4.1P1.1,0.0,45.0,55.00000000000001,0.0,47.92908949593642,728.7550000000003,916.8899999999991,866.5249999999993,1306.0799999999979,1099.0199999999982,-5.8297465838542895,1.3292097713140465,0.14404554085507706,0.10548358446649453,0.4505967314303125,0.18904844563673512,0.4834014234692549,0.258159463742957,0.3134306287040288,0.23863508422465604,0.7613649157753439,-4.902729786996641,0.7650754378320928
19,Fe0.95O4.05P1.05,0.0,47.5,52.5,0.0,50.44257344568264,762.0750000000002,903.5499999999992,846.1549999999994,1349.5799999999977,1098.3499999999983,-5.832272417691184,1.1900760064486924,0.10482890973487992,0.062300863972494694,0.4278871311838345,0.11033034806285369,0.31718718471851554,0.18564445756651113,0.16701594080548152,0.14311367562829186,0.8568863243717082,-5.0703212608195525,0.683625982996622
