,MgO,Al2O3,SiO2,Tliq_true,Tliq_pred
0,0.0,1.0,0.0,2327.0108,2281.2699999999963
1,0.05,0.95,0.0,2306.3483,2151.1659985351525
2,0.1,0.9,0.0,2281.797,2252.671999511715
3,0.15,0.85,0.0,2252.2397,2245.6699999999964
4,0.2,0.8,0.0,2216.1555,2227.8899999999962
5,0.25,0.75,0.0,2171.4728,2176.464999999996
6,0.3,0.7,0.0,2115.3729,2163.409999999996
7,0.35,0.65,0.0,2044.0333,2127.3199999999965
8,0.4,0.6,0.0,1952.3148,2115.3449999999966
9,0.45,0.55,0.0,1833.4337999999998,2105.2949999999964
10,0.5,0.5,0.0,1678.7565,2054.9449999999965
11,0.55,0.45,0.0,1718.5151999999998,1977.1349999999966
12,0.6,0.4,0.0,1984.6498000000001,1872.6149999999966
13,0.65,0.35,0.0,2198.6893999999998,1847.534999999997
14,0.7,0.3,0.0,2370.3056,1856.8649999999968
15,0.75,0.25,0.0,2511.8476,1861.0059997558562
16,0.8,0.2,0.0,2635.5367,1864.800999755856
17,0.85,0.15,0.0,2752.2627,2052.590999755856
18,0.9,0.1,0.0,2869.6433,1927.6799999999964
19,0.95,0.05,0.0,2987.6978,1964.5299999999966
20,1.0,0.0,0.0,3097.9097,2544.079999999996
21,0.0,0.95,0.05,2307.6497,2167.9199999999964
22,0.05,0.9,0.05,2290.7606,2034.178999023434
23,0.1,0.85,0.05,2267.9809,2023.5079992675746
24,0.15,0.8,0.05,2238.3193,2014.6579992675747
25,0.2,0.75,0.05,2200.2204,2019.7679992675746
26,0.25,0.7,0.05,2151.3842,1996.8379992675746
27,0.3,0.65,0.05,2088.5614,1881.8999987792936
28,0.35,0.6,0.05,2007.3791,1857.1499987792936
29,0.4,0.55,0.05,1902.4315000000001,1839.5799987792936
30,0.45,0.5,0.05,1855.839,1841.4939990234343
31,0.5,0.45,0.05,1833.9722000000002,1886.5019995117154
32,0.55,0.4,0.05,1818.2842,1857.7519995117154
33,0.65,0.3,0.05,2248.3529,1833.1919995117155
34,0.7,0.25,0.05,2400.1419,1815.7609997558561
35,0.75,0.2,0.05,2525.4459,1810.3509997558563
36,0.8,0.15,0.05,2642.7051,1820.4540002441374
37,0.9,0.05,0.05,2924.7964,1810.2799999999968
38,0.95,0.0,0.05,3022.7735000000002,1938.2899999999966
39,0.0,0.9,0.1,2287.3414,2242.4799999999964
